id,book_id,description,title,language_code,average_rating,ratings_count
1,2767052,"Suzanne Collins The Hunger Games The Hunger Games (The Hunger Games, #1)","The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653
2,3,"J.K. Rowling, Mary GrandPré Harry Potter and the Philosopher's Stone Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479
3,41865,"Stephenie Meyer Twilight Twilight (Twilight, #1)","Twilight (Twilight, #1)",en-US,3.57,3866839
4,2657,Harper Lee To Kill a Mockingbird To Kill a Mockingbird,To Kill a Mockingbird,eng,4.25,3198671
5,4671,F. Scott Fitzgerald The Great Gatsby The Great Gatsby,The Great Gatsby,eng,3.89,2683664
6,11870085,John Green The Fault in Our Stars The Fault in Our Stars,The Fault in Our Stars,eng,4.26,2346404
7,5907,J.R.R. Tolkien The Hobbit or There and Back Again The Hobbit,The Hobbit,en-US,4.25,2071616
8,5107,J.D. Salinger The Catcher in the Rye The Catcher in the Rye,The Catcher in the Rye,eng,3.79,2044241
9,960,"Dan Brown Angels & Demons  Angels & Demons  (Robert Langdon, #1)","Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311
10,1885,Jane Austen Pride and Prejudice Pride and Prejudice,Pride and Prejudice,eng,4.24,2035490
11,77203,Khaled Hosseini The Kite Runner  The Kite Runner,The Kite Runner,eng,4.26,1813044
12,13335037,"Veronica Roth Divergent Divergent (Divergent, #1)","Divergent (Divergent, #1)",eng,4.24,1903563
13,5470,"George Orwell, Erich Fromm, Celâl Üster Nineteen Eighty-Four 1984",1984,eng,4.14,1956832
14,7613,George Orwell Animal Farm: A Fairy Story Animal Farm,Animal Farm,eng,3.87,1881700
15,48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944 The Diary of a Young Girl",The Diary of a Young Girl,eng,4.1,1972666
16,2429135,"Stieg Larsson, Reg Keeland Män som hatar kvinnor The Girl with the Dragon Tattoo (Millennium, #1)","The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,1808403
17,6148028,"Suzanne Collins Catching Fire Catching Fire (The Hunger Games, #2)","Catching Fire (The Hunger Games, #2)",eng,4.3,1831039
18,5,"J.K. Rowling, Mary GrandPré, Rufus Beck Harry Potter and the Prisoner of Azkaban Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,1832823
19,34,"J.R.R. Tolkien  The Fellowship of the Ring The Fellowship of the Ring (The Lord of the Rings, #1)","The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,1766803
20,7260188,"Suzanne Collins Mockingjay Mockingjay (The Hunger Games, #3)","Mockingjay (The Hunger Games, #3)",eng,4.03,1719760
21,2,"J.K. Rowling, Mary GrandPré Harry Potter and the Order of the Phoenix Harry Potter and the Order of the Phoenix (Harry Potter, #5)","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368
22,12232938,Alice Sebold The Lovely Bones The Lovely Bones,The Lovely Bones,eng,3.77,1605173
23,15881,"J.K. Rowling, Mary GrandPré Harry Potter and the Chamber of Secrets Harry Potter and the Chamber of Secrets (Harry Potter, #2)","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,1779331
